,FamilyType
6666,Female Head
11307,Female Head
11306,Female Head
6660,Female Head
6659,Female Head
11300,Female Head
20786,Female Head
8585,Female Head
8586,Female Head
6618,Female Head
8587,Female Head
11292,Female Head
11291,Female Head
8589,Female Head
2537,Female Head
14561,Female Head
14563,Female Head
14564,Female Head
6643,Female Head
6642,Female Head
6641,Female Head
14580,Female Head
14589,Female Head
6620,Female Head
8588,Female Head
18014,Female Head
20697,Female Head
6594,Female Head
6561,Female Head
20642,Female Head
6560,Female Head
16578,Female Head
16577,Female Head
14669,Female Head
8638,Female Head
8639,Female Head
16576,Female Head
16575,Female Head
16574,Female Head
2693,Female Head
8644,Female Head
6563,Female Head
8645,Female Head
20627,Female Head
2699,Female Head
8653,Female Head
2707,Female Head
14687,Female Head
8654,Female Head
8655,Female Head
14691,Female Head
14692,Female Head
14696,Female Head
14697,Female Head
20608,Female Head
14698,Female Head
8646,Female Head
8620,Female Head
2676,Female Head
6566,Female Head
6593,Female Head
11204,Female Head
6592,Female Head
6589,Female Head
6588,Female Head
6587,Female Head
11195,Female Head
20677,Female Head
5292,Female Head
2648,Female Head
11188,Female Head
6580,Female Head
6579,Female Head
2675,Female Head
6578,Female Head
6576,Female Head
6575,Female Head
6574,Female Head
11179,Female Head
14648,Female Head
6570,Female Head
14653,Female Head
14654,Female Head
14655,Female Head
6569,Female Head
2671,Female Head
6568,Female Head
6567,Female Head
6577,Female Head
5911,Female Head
19621,Female Head
5909,Female Head
5399,Female Head
4835,Female Head
4837,Female Head
4838,Female Head
5397,Female Head
4843,Female Head
4844,Female Head
4845,Female Head
4846,Female Head
4847,Female Head
4849,Female Head
4852,Female Head
4854,Female Head
4857,Female Head
4858,Female Head
4859,Female Head
4860,Female Head
4861,Female Head
9394,Female Head
9393,Female Head
9392,Female Head
4865,Female Head
4866,Female Head
9391,Female Head
9390,Female Head
4869,Female Head
9389,Female Head
5400,Female Head
5401,Female Head
4829,Female Head
4828,Female Head
18780,Female Head
4789,Female Head
4790,Female Head
4791,Female Head
4792,Female Head
4793,Female Head
4794,Female Head
4796,Female Head
16014,Female Head
4799,Female Head
4800,Female Head
4801,Female Head
5407,Female Head
4871,Female Head
4803,Female Head
4806,Female Head
4807,Female Head
18534,Female Head
4814,Female Head
4815,Female Head
4818,Female Head
4819,Female Head
4820,Female Head
4823,Female Head
4824,Female Head
4825,Female Head
4826,Female Head
4827,Female Head
4805,Female Head
4872,Female Head
4873,Female Head
4874,Female Head
18540,Female Head
16030,Female Head
4917,Female Head
4918,Female Head
9376,Female Head
4921,Female Head
4922,Female Head
16033,Female Head
16034,Female Head
4925,Female Head
4926,Female Head
16035,Female Head
4929,Female Head
4909,Female Head
4930,Female Head
4933,Female Head
9370,Female Head
5388,Female Head
5387,Female Head
5386,Female Head
4940,Female Head
4941,Female Head
4942,Female Head
4943,Female Head
4944,Female Head
4946,Female Head
4949,Female Head
5382,Female Head
4931,Female Head
4787,Female Head
4908,Female Head
4906,Female Head
4875,Female Head
4877,Female Head
9388,Female Head
9387,Female Head
4881,Female Head
4882,Female Head
4883,Female Head
4884,Female Head
4885,Female Head
9386,Female Head
9385,Female Head
4889,Female Head
4890,Female Head
4907,Female Head
9384,Female Head
4893,Female Head
4894,Female Head
9383,Female Head
4896,Female Head
4897,Female Head
9382,Female Head
4899,Female Head
4900,Female Head
4901,Female Head
4902,Female Head
4903,Female Head
4904,Female Head
4905,Female Head
4892,Female Head
4951,Female Head
5408,Female Head
4781,Female Head
4674,Female Head
5437,Female Head
4676,Female Head
4677,Female Head
5436,Female Head
4679,Female Head
4683,Female Head
4684,Female Head
4685,Female Head
4686,Female Head
4687,Female Head
4688,Female Head
4689,Female Head
4690,Female Head
4691,Female Head
4692,Female Head
4693,Female Head
9442,Female Head
4697,Female Head
9440,Female Head
4699,Female Head
4700,Female Head
4701,Female Head
4702,Female Head
4703,Female Head
4704,Female Head
5430,Female Head
4673,Female Head
18815,Female Head
4671,Female Head
4670,Female Head
4638,Female Head
4639,Female Head
4640,Female Head
4641,Female Head
4642,Female Head
4643,Female Head
4644,Female Head
4645,Female Head
4647,Female Head
4648,Female Head
4649,Female Head
4650,Female Head
4652,Female Head
5429,Female Head
9449,Female Head
4656,Female Head
4657,Female Head
4658,Female Head
4659,Female Head
9448,Female Head
4661,Female Head
4662,Female Head
4663,Female Head
4664,Female Head
4666,Female Head
4667,Female Head
4668,Female Head
4669,Female Head
4655,Female Head
5428,Female Head
4710,Female Head
4711,Female Head
4751,Female Head
5416,Female Head
4753,Female Head
4754,Female Head
4755,Female Head
4756,Female Head
4757,Female Head
4758,Female Head
5415,Female Head
4761,Female Head
4762,Female Head
5414,Female Head
5413,Female Head
5417,Female Head
4765,Female Head
16008,Female Head
4768,Female Head
4769,Female Head
4770,Female Head
4771,Female Head
4772,Female Head
4774,Female Head
4775,Female Head
18530,Female Head
4777,Female Head
4778,Female Head
4779,Female Head
4780,Female Head
18787,Female Head
4785,Female Head
4749,Female Head
4747,Female Head
5427,Female Head
4714,Female Head
4715,Female Head
4716,Female Head
4717,Female Head
4718,Female Head
4719,Female Head
4720,Female Head
4721,Female Head
4722,Female Head
5426,Female Head
5425,Female Head
5424,Female Head
4748,Female Head
4726,Female Head
5422,Female Head
4730,Female Head
4733,Female Head
4734,Female Head
4735,Female Head
4738,Female Head
4739,Female Head
4740,Female Head
5419,Female Head
4743,Female Head
4744,Female Head
4745,Female Head
4746,Female Head
5423,Female Head
4952,Female Head
9361,Female Head
4955,Female Head
5175,Female Head
5176,Female Head
5177,Female Head
9278,Female Head
9277,Female Head
5181,Female Head
5182,Female Head
5183,Female Head
5184,Female Head
5185,Female Head
5186,Female Head
5187,Female Head
5188,Female Head
5189,Female Head
5190,Female Head
5191,Female Head
5192,Female Head
9276,Female Head
9275,Female Head
16113,Female Head
9269,Female Head
9268,Female Head
9267,Female Head
5316,Female Head
5315,Female Head
5314,Female Head
5210,Female Head
9279,Female Head
5173,Female Head
5172,Female Head
9280,Female Head
18656,Female Head
5133,Female Head
5134,Female Head
5135,Female Head
5335,Female Head
5334,Female Head
5139,Female Head
5333,Female Head
16153,Female Head
5328,Female Head
5327,Female Head
5147,Female Head
5148,Female Head
5211,Female Head
5149,Female Head
5151,Female Head
5157,Female Head
5158,Female Head
5159,Female Head
5160,Female Head
16107,Female Head
9221,Female Head
9222,Female Head
9223,Female Head
16111,Female Head
5166,Female Head
5168,Female Head
5169,Female Head
5150,Female Head
9262,Female Head
9261,Female Head
5313,Female Head
5259,Female Head
5260,Female Head
5261,Female Head
5262,Female Head
5263,Female Head
5264,Female Head
9242,Female Head
5268,Female Head
5269,Female Head
5270,Female Head
5271,Female Head
5272,Female Head
5273,Female Head
9243,Female Head
18596,Female Head
5277,Female Head
5279,Female Head
5280,Female Head
5298,Female Head
5297,Female Head
5283,Female Head
5284,Female Head
5296,Female Head
5295,Female Head
18589,Female Head
5288,Female Head
5289,Female Head
9234,Female Head
5275,Female Head
18657,Female Head
9244,Female Head
5255,Female Head
5312,Female Head
5218,Female Head
5219,Female Head
5220,Female Head
5311,Female Head
5310,Female Head
5309,Female Head
5225,Female Head
5226,Female Head
